ACC1X,ACC1Y,ACC1Z,GYR1X,GYR1Y,GYR1Z
0.08154297,-0.04541016,1.01513672,1.09863281,-0.48828125,-2.07519531
0.08056641,-0.04296875,1.00537109,1.15966797,-0.36621094,-2.31933594
0.14501953,-0.04248047,1.00097656,2.38037109,-1.40380859,-2.44140625
0.14746094,-0.04296875,1.00341797,2.68554688,-1.22070312,-1.52587891
0.14746094,-0.04296875,1.00341797,2.68554688,-1.22070312,-1.52587891
0.13574219,-0.04638672,1.01464844,1.58691406,-0.48828125,-0.18310547
0.10351562,-0.03857422,1.01513672,-2.01416016,0,0.18310547
0.10839844,-0.03955078,0.99707031,-1.64794922,-0.06103516,0.18310547
0.10839844,-0.03955078,0.99707031,-1.64794922,-0.06103516,0.18310547
0.11572266,-0.04101562,0.99267578,0.18310547,-0.12207031,0.24414062
0.09130859,-0.03466797,1.01708984,0.9765625,-0.54931641,0.06103516
0.10693359,-0.03662109,1.01660156,-0.24414062,-0.67138672,-0.18310547
0.10693359,-0.03662109,1.01660156,-0.24414062,-0.67138672,-0.18310547
0.10595703,-0.03564453,1.00976562,-1.09863281,-0.42724609,-0.06103516
0.10400391,-0.03710938,1.00195312,-0.12207031,-0.12207031,-0.06103516
0.10302734,-0.03759766,1.00244141,0.61035156,-0.12207031,-0.18310547
0.10302734,-0.03759766,1.00244141,0.61035156,-0.12207031,-0.18310547
0.10546875,-0.03710938,1.00878906,0.67138672,0.18310547,-0.18310547
0.10546875,-0.03320312,1.01123047,-0.54931641,0.42724609,-0.12207031
0.10595703,-0.03271484,1.00488281,-0.85449219,0.42724609,-0.36621094
0.10595703,-0.03271484,1.00488281,-0.85449219,0.42724609,-0.36621094
0.10449219,-0.03515625,1.00146484,-0.18310547,0.54931641,-0.36621094
0.10449219,-0.02929688,1.00195312,1.28173828,0.61035156,-0.54931641
0.10839844,-0.03076172,1.00390625,1.77001953,0.61035156,-0.85449219
0.10839844,-0.03076172,1.00390625,1.77001953,0.61035156,-0.85449219
0.11474609,-0.03662109,1.01904297,1.28173828,0.54931641,-0.85449219
0.109375,-0.0390625,1.00390625,-2.38037109,0.79345703,-0.12207031
0.11328125,-0.03417969,1.00292969,-1.70898438,0.85449219,0.06103516
0.11328125,-0.03417969,1.00292969,-1.70898438,0.85449219,0.06103516
0.09570312,-0.03662109,1.00634766,-1.15966797,0.67138672,-0.06103516
0.10595703,-0.03613281,1.00878906,-1.22070312,0.67138672,-0.06103516
0.10449219,-0.03662109,1.0078125,-1.28173828,0.67138672,0
0.10205078,-0.03662109,1.00976562,-1.58691406,0.67138672,0
0.10498047,-0.03662109,1.00927734,-1.953125,0.91552734,0.12207031
0.10742188,-0.03662109,1.00537109,-1.89208984,1.09863281,0.12207031
0.10107422,-0.03710938,1.00976562,-2.19726562,1.22070312,0.18310547
0.10351562,-0.03955078,1.00439453,-1.89208984,0.85449219,0
0.10546875,-0.03662109,1.00390625,-1.64794922,0.9765625,-0.12207031
0.09814453,-0.03857422,1.01123047,-1.52587891,0.9765625,0
0.09619141,-0.0390625,1.00878906,-2.01416016,0.9765625,-0.06103516
0.10253906,-0.03857422,1.00634766,-2.01416016,0.85449219,0
0.10058594,-0.03759766,1.00488281,-1.52587891,0.61035156,0.06103516
0.10205078,-0.03759766,1.00732422,-1.28173828,0.48828125,0.06103516
0.10107422,-0.03808594,1.00683594,-0.9765625,0.30517578,0.12207031
0.09423828,-0.04394531,0.99462891,-0.48828125,-0.48828125,0.12207031
0.09570312,-0.04248047,0.99365234,-0.24414062,-0.54931641,0
0.09472656,-0.04101562,0.98974609,-0.36621094,-0.61035156,-0.30517578
